,User,Tweet
113,annamalai_k,"Face the reality, Thiru @mkstalin averagle. Your ambitions of becoming Deputy Prime Minister is long gone. Under our Hon PM Thiru @narendramodi avargal, @BJP4India will emerge victorious in 2024. (3/4)"
114,SupriyarajRanj1,"We nominate @VidyutJammwal for our next prime minister after @narendramodi decides to step down from the post of PM.
Because he can take a dip in Frozen Lake shirtless 🙏 https://t.co/Fh60zy8rXH"
115,Dailyvruttmitra,"9)China names its envoy to US Qin Gang as new foreign minister.
10)WHO asks China to share specific, real-time data on COVID situation.
11)RSS to hold national coordination meet in Goa.
12)Bangladesh PM conveyed deep condolences to PM Modi on passing away of his mother."
116,newstracklive,"गुजरात सड़क हादसे पर PM मोदी ने जताया दुःख, की मुआवजे की घोषणा https://t.co/mfhd1xbNto https://t.co/GtRobzMgAq #gujarat #road_accident #narendra_modi #prime_minister @newstracklive"
117,mumbai_mitra,"9)China names its envoy to US Qin Gang as new foreign minister.
10)WHO asks China to share specific, real-time data on COVID situation.
11)RSS to hold national coordination meet in Goa.
12)Bangladesh PM conveyed deep condolences to PM Modi on passing away of his mother."
118,venkat_indian9,"11 AM - PM back to duties via a video conference meeting.

Actions speak louder than everything.

Blessed to have such a dutiful and honest Prime Minister.  God bless him."
119,esafpaul,"My sincere condolences on the demise of Smt. Heeraben Modi, mother of the honourable Prime Minister, Shri. Narendra Modi. My heart goes out to all the well-wishers of the PM and his family. You are always in my fervent prayers.
@narendramodi"
120,t_chowdhury1979,"@Bill_Esterson The Prime Minister spoke to Dean (the homeless man) about finance because he raised the issue and told him he was interested, then Rishi Sunak asked him if it was something he would like to get into. Did you even go to the shelter? At least the PM did..."
121,republic,"#LIVE | PM Modi recently inaugurated Terminal-2 of Bengaluru Airport and unveiled 108-feet high statue of Kempegowda. Once BJP comes to power, statue of Kempegowda will stand as an inspiration for us to work for the State: Home Minister Amit Shah - https://t.co/bn2E9Q0XKX https://t.co/JBGj95d2ow"
122,AdvaitaKala,"""Being a prime minister is a lonely job and Narendra Modi will be lonelier without his mother""
My piece on the passing of PM Modi's mother...Heeraben Modi. 
https://t.co/INdxH4vhgn"
